Player	Position	Team	Proj_Targets	Proj_Receptions	Proj_RecYds	Proj_RecTD	Proj_RushAtt	Proj_RushYds	Proj_RushTD	Proj_PassYds	Proj_PassTD	Proj_Pts	Tgt_2025	TgtPct_2025	Rec_2025	RecYds_2025	RecTD_2025	RushAtt_2025	RushYds_2025	RushTD_2025	PassYds_2025	PassTD_2025	Games_2025	FPTS_2025	FPTSperG_2025	YPRR_2025	YAC_2025	
Jahmyr Gibbs	RB	DET	86	68	547	3	283	1373	14			365	94		77	616	5	243	1223	13			17	366.9	21.6	0.88	334	
Puka Nacua	WR	LAR	174	123	1590	10						357	166	28.6	129	1715	10						16	375	23.4	3.73	701	
Bijan Robinson	RB	ATL	99	76	712	3	286	1371	8			353	103		79	820	4	287	1478	7			17	370.8	21.8	0.78	412	
Christian McCaffrey	RB	SF	100	80	692	5	279	1149	10			350	129		102	924	7	311	1202	10			17	416.6	24.5	0.82	378	
Ja'Marr Chase	WR	CIN	172	119	1507	11						336	185	30.2	125	1412	8						16	313.6	19.6	2.48	698	
Jaxon Smith-Njigba	WR	SEA	166	117	1569	9						327	163	36	119	1793	10						17	359.9	21.2	3.61	643	
Amon-Ra St. Brown	WR	DET	167	118	1430	10						324	172	31.4	117	1401	11						17	324	19.1	2.31	589	
Jonathan Taylor	RB	IND	58	47	346	1	327	1510	12			309	55		46	378	2	323	1585	18			17	362.3	21.3			
De'Von Achane	RB	MIA	80	65	512	3	266	1348	5			298	85		67	488	4	238	1350	8			16	322.8	20.2	1.12	432	
CeeDee Lamb	WR	DAL	158	104	1381	9						295	117	19.2	75	1077	3						14	200.9	14.4	2.21	471	
Justin Jefferson	WR	MIN	166	111	1375	7						293	141	30.4	84	1048	2						17	201.5	11.9	2.28	562	
James Cook	RB	BUF	46	36	302	2	300	1400	11			279														0.64	298	
Omarion Hampton	RB	LAC	69	56	393	2	270	1153	10			279	35		32	192	1	124	545	4			9	135.7	15.1			
Jeremiyah Love	RB	ARI	86	65	489	2	255	1129	7			279																
Derrick Henry	RB	BAL	28	21	210	1	317	1480	13			274	21		15	150	0	307	1595	16			17	279.5	16.4			
Saquon Barkley	RB	PHI	59	43	370	2	301	1285	9			273	50		37	273	2	280	1140	7			16	232.3	14.5			
Breece Hall	RB	NYJ	64	52	436	3	265	1163	8			273	48		36	350	1	243	1065	4			16	207.7	13	0.82	321	
Chase Brown	RB	CIN	80	64	434	3	240	1045	7			272	88		69	437	5	232	1019	6			17	282.6	16.6	0.72	274	
Drake London	WR	ATL	159	102	1257	7						271	112	21.4	68	919	7						12	201.9	16.8	2.18	467	
Rashee Rice	WR	KC	136	96	1133	9						270	78	14.2	53	571	5						8	150.1	18.8	2.06	428	
Javonte Williams	RB	DAL	51	37	219	2	287	1256	11			259	51		35	137	2	252	1201	11			16	242.8	15.2			
Garrett Wilson	WR	NYJ	154	103	1212	5						257	59	12.5	36	395	4						7	99.5	14.2	1.91	367	
Trey McBride	TE	ARI	155	112	1068	6						252	169	27.5	126	1239	11						17	315.9	18.6	1.98	589	
Nico Collins	WR	HOU	137	86	1213	7						249	120	21.5	71	1117	6						15	226.2	15.1	1.81	387	
AJ Brown	WR	NE	130	86	1215	7						248														2.08	312	
Chris Olave	WR	NO	142	90	1162	6						245	156	27.7	100	1163	9						16	269	16.8	1.94	398	
Kyren Williams	RB	LAR	45	33	224	2	250	1133	11			242	50		36	281	3	259	1252	10			17	263.3	15.5	0.67	289	
Cam Skattebo	RB	NYG	61	49	365	2	249	1047	7			242	32		24	207	2	101	410	5			8	127.7	16			
Travis Etienne	RB	NO	60	45	376	2	258	1117	6			241																
Brock Bowers	TE	LV	135	98	995	7						240	86	17.2	64	680	7						12	176.2	14.7	2.12	632	
Zay Flowers	WR	BAL	117	82	1173	6						239	118	28.9	86	1211	5						17	243.3	14.3	2.51	398	
Tetairoa McMillan	WR	CAR	140	83	1191	6						239	122	25.6	70	1014	7						17	211.4	12.4			
George Pickens	WR	DAL	125	80	1116	8						239	137	22.7	93	1429	9						17	291.9	17.2	1.78	264	
DeVonta Smith	WR	PHI	128	90	1127	6						238	113	24.3	77	1008	4						17	201.8	11.9	2.09	378	
Bucky Irving	RB	TB	48	39	313	2	262	1062	6			222	35		30	277	3	173	588	1			10	138.5	13.9			
Ladd McConkey	WR	LAC	122	80	1033	6						220	106	19.7	66	789	6						16	180.9	11.3	1.96	487	
Terry McLaurin	WR	WAS	119	81	1043	6						219	60	13.7	38	582	3						10	114.2	11.4	1.74	308	
Emeka Egbuka	WR	TB	123	67	1078	7						219	127	23.7	63	938	6						17	195.7	11.5	1.68	298	
Malik Nabers	WR	NYG	120	76	1003	7						218	35	7	18	271	2						4	57.1	14.3	2.12	498	
Tee Higgins	WR	CIN	114	73	955	8						218	98	16.1	59	846	11						15	211.6	14.1	1.87	298	
Rome Odunze	WR	CHI	118	59	1029	8						213	90	16.9	44	661	6						12	146.1	12.2	1.98	362	
Jaylen Waddle	WR	DEN	119	77	991	6						213	100	21.8	64	910	6						16	194.1	12.1	1.77	387	
D'Andre Swift	RB	CHI	41	30	269	1	219	994	8			212	48		34	299	1	223	1087	9			16	228.6	14.3			
Carnell Tate	WR	TEN	127	78	1068	5						211																
DJ Moore	WR	BUF	107	67	946	7						210	85	15.8	50	682	6						17	170.2	10			
TreVeyon Henderson	RB	NE	52	43	300	2	194	854	7			208	42		35	221	1	180	911	9			17	206.2	12.1			
Tyler Warren	TE	IND	115	87	870	5						208	112	20.9	76	817	4						17	188.5	11.1			
Colston Loveland	TE	CHI	118	80	897	6						206	82	15.5	58	713	6						16	165.1	10.3	1.68	287	
Courtland Sutton	WR	DEN	119	69	893	8						204	124	21.1	74	1017	7						17	219.7	12.9	1.82	302	
Alec Pierce	WR	IND	115	68	1024	5						203	84	15.8	47	1003	6						15	183.3	12.2			
Michael Pittman Jr.	WR	PIT	130	88	860	4						197	111	21	80	784	7						17	202.4	11.9			
DK Metcalf	WR	PIT	113	65	941	6						195	99	19	59	850	6						15	187.2	12.5	1.84	278	
Jadarian Price	RB	SEA	35	27	212	1	223	922	8			194																
Marvin Harrison Jr.	WR	ARI	126	69	956	5						194	73	11.8	41	608	4						12	127.8	10.7	1.92	412	
Jaylen Warren	RB	PIT	57	46	319	1	180	789	4			191	45		40	333	2	211	958	6			16	217.1	13.6			
Tony Pollard	RB	TEN	39	30	181	0	247	1076	6			190	41		33	206	0	242	1082	5			17	185.8	10.9			
George Kittle	TE	SF	93	74	812	6						190	69	12.5	57	628	7						11	161.5	14.7	1.78	398	
Sam LaPorta	TE	DET	102	78	788	5						189	49	8.8	40	489	3						9	106.9	11.9	1.54	374	
Aaron Jones	RB	MIN	61	47	344	2	170	740	4			188																
Parker Washington	WR	JAX	108	64	850	5						188	95	17.1	58	847	5						16	184.7	11.5			
Harold Fannin Jr.	TE	CLE	119	83	818	3						187	107	20.8	72	731	6						16	186.4	11.7			
Christian Watson	WR	GB	94	55	870	7						186	55	12.1	35	611	6						10	132.4	13.2	1.64	212	
Matthew Golden	WR	GB	105	67	874	5						186	44	9.8	29	361	0						14	70	5			
Kyle Pitts	TE	ATL	115	80	862	3						186																
Chuba Hubbard	RB	CAR	52	41	302	1	198	797	4			185	39		30	223	3	134	511	1			15	125.4	8.4			
Rico Dowdle	RB	PIT	40	29	210	1	223	972	5			185	50		39	297	1	236	1076	6			17	216.3	12.7			
Makai Lemon	WR	PHI	98	62	883	5						182																
Jakobi Meyers	WR	JAX	108	70	766	5						182	110	20.9	75	835	3						16	175.8	11			
Travis Kelce	TE	KC	103	74	770	4						177	108	19.7	76	851	5						17	193.2	11.4	1.58	221	
Brian Thomas Jr.	WR	JAX	102	57	860	5						176	91	16.6	48	707	2						14	138.8	9.9	2.14	482	
Dallas Goedert	TE	PHI	93	70	724	6						176	82	17.6	60	591	11						15	185.1	12.3	1.74	298	
Wan'Dale Robinson	WR	TEN	116	79	817	2						174	140	28	92	1014	4						16	217.9	13.6			
Xavier Worthy	WR	KC	92	55	788	5						173	73	13.2	42	532	1						14	109.9	7.9	1.88	332	
J.K. Dobbins	RB	DEN	23	17	105	1	213	993	7			171	14		11	37	0	153	772	4			10	115.9	11.6			
Khalil Shakir	WR	BUF	92	70	765	4						171	95	19.7	72	719	4						16	166.4	10.4	1.76	478	
Romeo Doubs	WR	NE	88	60	763	6						171	85	18.6	55	724	6						16	165.4	10.3			
Jayden Reed	WR	GB	89	63	730	4						171	22	4.9	19	207	1						7	48.5	6.9			
Jordan Addison	WR	MIN	100	60	770	5						170	79	16.9	42	610	3						14	135.1	9.7	1.72	214	
Mark Andrews	TE	BAL	84	58	618	7						169	70	16.9	48	422	5						17	131	7.7	1.62	278	
Josh Downs	WR	IND	105	76	718	3						165	88	16.5	58	566	4						16	136.4	8.5			
Ricky Pearsall	WR	SF	90	58	814	4						165	53	9.7	36	528	0						10	88.6	8.9			
Tucker Kraft	TE	GB	89	64	732	4						162	44	9.7	32	489	6						8	117.2	14.7	1.52	234	
Kenyon Sadiq	TE	NYJ	90	67	692	4						162																
